model,model_role,model_description,group,label,metric,estimate,ci_low,ci_high,unit,small_sample_warning
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed,sensitivity,0.7823675067,0.6705328939,0.9170670965,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed,sensitivity,0.7985500759,0.6631813268,0.9837590709,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed,sensitivity,0.9056860229,0.7722443415,0.9644140662,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,sensitivity,0.7933276819,0.7309492023,0.8693442331,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,hba1c_pos,sensitivity,0.7763461461,0.6327417265,0.9033207678,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,hba1c_pos,sensitivity,0.9586109929,0.916126666,1,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,hba1c_pos,sensitivity,0.8709597994,0.7847391966,0.9531135659,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,hba1c_pos,sensitivity,0.7392582098,0.6442483006,0.8666769905,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,hba1c_pos,sensitivity,0.8673301382,0.7632162133,1,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,hba1c_pos,sensitivity,0.8782275898,0.7589127406,0.9331320277,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,specificity,0.6152725092,0.5861789144,0.6443141725,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed,specificity,0.6926062776,0.6209734392,0.7552165097,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed,specificity,0.6391893099,0.5832446679,0.695374475,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed,specificity,0.6541120831,0.6284769555,0.6771800452,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed,specificity,0.584106777,0.5375395708,0.6279768328,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed,specificity,0.7356673508,0.6953417457,0.7748192824,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed,specificity,0.5648042997,0.5003312569,0.6524435865,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,specificity,0.6016983292,0.5767901691,0.6286397417,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,hba1c_pos,specificity,0.6400809668,0.5617180351,0.7063292515,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,hba1c_pos,specificity,0.5485424691,0.4931739071,0.5994731594,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,hba1c_pos,specificity,0.5543584662,0.5335682914,0.5752709515,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,hba1c_pos,specificity,0.6034144315,0.5636947305,0.6427672737,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,hba1c_pos,specificity,0.6482996835,0.6006047317,0.6992928499,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,hba1c_pos,specificity,0.5960956982,0.5216265384,0.6967134206,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed minus hba1c_pos,specificity_cost,0.01357417994,-0.005712747808,0.03175992526,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed minus hba1c_pos,specificity_cost,0.05252531074,0.03315644448,0.06857808179,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed minus hba1c_pos,specificity_cost,0.09064684083,0.07006807812,0.1143679831,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed minus hba1c_pos,specificity_cost,0.0997536169,0.0857369194,0.1121537607,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed minus hba1c_pos,specificity_cost,-0.01930765447,-0.03686715371,-0.001159233942,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed minus hba1c_pos,specificity_cost,0.08736766728,0.05888766197,0.1104865049,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed minus hba1c_pos,specificity_cost,-0.03129139842,-0.08245730208,0.01287521913,percentage points (0 to 1 scale),OK
extended_logistic,sensitivity,"Adds BMI, family history, insurance and a routine care place; race excluded",All groups,diagnosed,auc,0.8187283883,0.7985920814,0.8466511886,auc,OK
extended_logistic,sensitivity,"Adds BMI, family history, insurance and a routine care place; race excluded",All groups,hba1c_pos,auc,0.8192847148,0.7985064633,0.8471773151,auc,OK
extended_logistic,sensitivity,"Adds BMI, family history, insurance and a routine care place; race excluded",All groups,diagnosed minus hba1c_pos,auc_difference,-0.0005563264792,-0.005628867954,0.004032798354,auc,OK
extended_logistic,sensitivity,"Adds BMI, family history, insurance and a routine care place; race excluded",All groups,diagnosed,false_positive_rate,0.3280480591,0.3057418053,0.3475917047,proportion,OK
