model,label,group,respondents,positives,negatives,effective_n_positives,effective_n_negatives,small_n_warning,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high
extended_logistic,hba1c_pos,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.6861162507066888,0.5914193754785433,0.7727125551626199,0.8110377703121765,0.7821479857659114,0.8413792065336282,0.3212180830715456,0.25238252131306393,0.4021434094431967,0.9520735922569925,0.9382799846169769,0.966858240990551
extended_logistic,hba1c_pos,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.9069384663382607,0.8000926286840288,0.9696388686961838,0.7144460481909201,0.6627605204475797,0.7849921959844635,0.25121491195000983,0.1531474526548491,0.364215465273603,0.9864878470923873,0.9776327680620049,0.9959204874836469
extended_logistic,hba1c_pos,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.8287442408107522,0.7875308601020138,0.879998841478458,0.6563673514126072,0.6326468545165104,0.6811716465430715,0.19033772570021182,0.17506866850646957,0.20520771627663908,0.9753036556182936,0.9679722737432619,0.9837988488004084
extended_boosting,diagnosed,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8715472742477177,0.8011533015705603,0.965502410574462,0.6146161805359609,0.5872949271479803,0.6419038531689445,0.1684927984439096,0.13691134871045896,0.1991737968439274,0.9816207110052785,0.9694199125285923,0.9958518994281189
extended_boosting,diagnosed,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.8173901480846435,0.7216556828957685,0.9056976086880623,0.6970539230743716,0.6753759379440087,0.7208921685725633,0.2595290646730263,0.209706411612089,0.30455940600982095,0.9671318870912723,0.9518098629194723,0.9834693036053113
extended_boosting,diagnosed,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.705258918746241,0.6247226958241641,0.8063774670344146,0.7707579950592779,0.7182088899217272,0.8141009387823591,0.22720735201811387,0.17617660432501864,0.2866576829273131,0.9648217821993011,0.9510661029132607,0.9794585694266889
extended_boosting,diagnosed,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.8328789990021985,0.6862340560587982,0.9833694810528463,0.7730619397066679,0.7195404971831451,0.8206882718364998,0.24365241759125741,0.18219699770695905,0.3100317376327851,0.9814049035206682,0.9635394964159321,0.9981484831450493
extended_boosting,diagnosed,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.6854030904817513,0.5910208089219,0.7919613049677464,0.8141151232450227,0.7855206144250626,0.8420852610445165,0.3247450982042059,0.25916173805661585,0.3953213917586445,0.9521375753113522,0.9334957373031062,0.9709307060804828
extended_boosting,diagnosed,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.9133477225295895,0.8061522107588838,0.9675337610149142,0.7266151852690433,0.6381396897799254,0.8429804527762824,0.2612567989784015,0.16475008872354424,0.4139778525872589,0.987585788672097,0.9791075537615337,0.9948965260913955
extended_boosting,diagnosed,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.8340165526444195,0.7870009670095235,0.8832060175824757,0.666652248607307,0.6489337643500863,0.687495849784834,0.19585957380129945,0.17728088367401262,0.21379935634494562,0.976349951319863,0.9694011874914065,0.9843832658313021
extended_boosting,hba1c_pos,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8686954733235014,0.8108013980395168,0.9491879032826778,0.6458870741974456,0.6201121351725402,0.6702605941044135,0.18032252817471414,0.1484591233743862,0.21068850215638135,0.9821109605699545,0.972676117608876,0.9935024199958185
extended_boosting,hba1c_pos,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.8260302375493132,0.7454969675945561,0.906346396299249,0.7035304155532274,0.671371201097937,0.7362353112537854,0.2658958506409653,0.21177048904748888,0.31615534098714015,0.9689457792926396,0.9556540167379484,0.9831993596392518
extended_boosting,hba1c_pos,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.6513838904638287,0.5590623842234397,0.7651625035747673,0.7752241150821709,0.7177834654065743,0.8249894018317634,0.21673893029692154,0.16285658609124634,0.2870830985343128,0.9588871032557323,0.9452686887482445,0.9751431012359334
extended_boosting,hba1c_pos,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.7799775873320186,0.6395781669791744,0.8888651647490982,0.7686186750611782,0.7262353336161701,0.8101272806338666,0.22849341964523973,0.1666320364171616,0.29047236964077117,0.9755303002713207,0.9603984089513454,0.9887189551849396
extended_boosting,hba1c_pos,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.6829073591839016,0.6072703201320689,0.7808780563997519,0.8319941561565342,0.8099901284691708,0.8571773960534068,0.3469214994584337,0.28801908713591984,0.4186003117264432,0.9528183584857285,0.9364921776922314,0.9698027875858075
extended_boosting,hba1c_pos,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.9009547674237712,0.7809982020030345,0.9636719205852818,0.7494577689682458,0.6852626084166237,0.839911534385837,0.2752803476424882,0.16630390479549,0.41838887154559057,0.9862997138420726,0.9775866654498495,0.9943138186956401
extended_boosting,hba1c_pos,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.824119680521882,0.7899328052928747,0.8626775539460245,0.6888968102013272,0.6719735056471576,0.7076247579740838,0.20510742787189457,0.18577358308447012,0.22315787432273954,0.9757742632216087,0.9705120249244518,0.9820966588268147
