model,label,group,bin,n,mean_predicted,observed_rate,weighted_n
demographic_race_logistic,diagnosed,All groups,1,630,0.012052256793337695,0.011501558768607218,25352032.55906439
demographic_race_logistic,diagnosed,All groups,2,592,0.01923444201314887,0.008395456736303404,25340318.514251836
demographic_race_logistic,diagnosed,All groups,3,522,0.027665324553982375,0.02368816961293631,25323017.5046003
demographic_race_logistic,diagnosed,All groups,4,485,0.039534038914650745,0.027056204253679546,25396916.063070342
demographic_race_logistic,diagnosed,All groups,5,462,0.05743693202713701,0.06445094001057387,25354707.32132812
demographic_race_logistic,diagnosed,All groups,6,492,0.08299790856152318,0.11691415873424346,25381423.278131954
demographic_race_logistic,diagnosed,All groups,7,507,0.11643177639280591,0.11901292159414611,25333896.47754152
demographic_race_logistic,diagnosed,All groups,8,566,0.15949908352305334,0.15983133458204982,25370214.016658336
demographic_race_logistic,diagnosed,All groups,9,686,0.22199631104654924,0.24524924759698152,25351292.17772436
demographic_race_logistic,diagnosed,All groups,10,931,0.34130976511929756,0.2991646657104583,25353986.686242543
demographic_race_logistic,hba1c_pos,Non-Hispanic White,1,470,0.012441577058252535,0.016073918458457383,31105501.288029008
demographic_race_logistic,hba1c_pos,Non-Hispanic White,2,343,0.027402934196100886,0.01894285679741812,31163828.34471953
demographic_race_logistic,hba1c_pos,Non-Hispanic White,3,294,0.05791206818682018,0.08303472361259129,31061391.12352576
demographic_race_logistic,hba1c_pos,Non-Hispanic White,4,326,0.10826110487909478,0.11325696517183702,31215364.287649594
demographic_race_logistic,hba1c_pos,Non-Hispanic White,5,589,0.20913539411046242,0.17985370000867543,31053541.46293503
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,1,266,0.021909666005617435,0.010288619251140668,5610011.582491493
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,2,188,0.039550054900034305,0.03217170081805624,5586000.531720145
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,3,204,0.07337027779322056,0.08049684734736812,5596891.599066205
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,4,250,0.14232142905035883,0.21849083419176318,5607450.670826188
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,5,404,0.28888398755425077,0.23286320603433514,5592523.171192596
demographic_race_logistic,hba1c_pos,Mexican American,1,173,0.019022576565933865,0.006719223062059404,5006243.922487718
demographic_race_logistic,hba1c_pos,Mexican American,2,141,0.031977171249740845,0.007149522373038448,5011634.851613639
demographic_race_logistic,hba1c_pos,Mexican American,3,123,0.055727335015378146,0.08337531029773194,5017206.295013895
demographic_race_logistic,hba1c_pos,Mexican American,4,145,0.10027193302340912,0.11453084060913056,4997439.722213294
demographic_race_logistic,hba1c_pos,Mexican American,5,274,0.2317528615518307,0.2238984708183127,4999175.824623225
demographic_race_logistic,hba1c_pos,Other Hispanic,1,103,0.01578510925052209,0.0,3634442.3472010274
demographic_race_logistic,hba1c_pos,Other Hispanic,2,75,0.029887518566233295,0.01442753060128532,3586729.9755323436
demographic_race_logistic,hba1c_pos,Other Hispanic,3,80,0.05159563208781652,0.025810524701319615,3671221.6168961944
